L,a,b
36.4493,61.0496,33.5433
62.4396,-62.972,62.9892
74.2308,-13.781,16.9599
61.8139,-52.5071,22.7378
33.2785,20.7413,-57.0729
12.0112,-21.1375,13.2781
31.5382,53.9707,45.309
27.1125,2.0405,-33.2438
63.1231,18.6404,68.5124
43.4232,-35.5272,7.6008
27.7764,52.6278,-3.1085
28.11,51.4186,25.8177
24.8672,53.5334,-38.2736
39.285,-22.2876,-11.1723
12.3333,33.58,4.7547
45.536,-32.2442,50.2177
38.1147,65.1565,-5.0586
39.341,13.5602,-54.336
27.1969,67.9774,-87.7351
54.6905,86.9867,-26.0718
20.8211,-13.2705,-9.7425
71.8777,-20.2521,-38.7409
46.6226,16.5896,-62.7627
46.485,15.7948,-61.8478
54.1875,-58.0222,54.8148
42.1022,-41.921,23.7952
32.0122,-22.9953,-4.0283
67.0821,-65.4216,51.1129
53.3594,10.6474,-61.4657
82.7848,-81.8549,78.1092
33.9594,61.7336,-20.7251
76.1449,-56.2272,14.0463
83.7042,-65.3224,80.7245
29.4288,-24.7474,37.0252
52.2697,87.6043,-52.6983
64.2813,48.3377,72.2508
37.5377,77.0412,-83.0568
18.8035,41.6955,-0.6368
37.6941,73.3028,-65.9326
3.1339,20.3881,-31.4245
85.9125,-53.3201,-0.9744
43.4088,68.7656,54.7086
77.5611,-41.0944,76.7691
23.393,-9.7661,-16.474
14.4104,43.85,-62.9398
88.0817,-77.6256,49.7962
80.7508,-34.1255,-26.6612
48.1166,29.3811,56.7835
48.8753,83.9081,-54.2914
43.1905,77.9703,-57.9248
16.5124,53.0949,-71.9814
21.693,43.8922,23.4964
43.2996,74.4214,-33.9691
67.0802,-10.2814,69.7345
25.0607,56.3727,-51.9289
24.36,-20.7034,-1.0958
41.4616,67.8308,14.284
81.0888,-78.6966,77.9331
34.6858,21.5807,-58.9444
36.7726,73.1184,-69.8269
76.7036,-65.7042,74.8272
27.7488,60.1017,-55.5102
82.727,-73.3524,79.5375
29.8169,63.2139,-59.3976
32.3569,77.3336,-102.1031
15.5448,24.984,-47.528
66.7776,25.9309,72.2205
37.4588,-32.9479,8.8117
29.4206,5.0481,13.2989
68.9946,-50.7406,69.0517
79.9878,-74.9094,56.6309
50.8647,-44.9025,19.0343
85.9053,-43.2883,-17.2593
35.748,9.1036,-47.0853
91.4656,-27.717,89.2923
62.985,-17.824,65.7837
36.2508,55.3624,-91.1281
48.719,76.2396,19.0332
31.9584,11.2337,-46.5539
28.9206,52.8955,13.6253
19.8037,58.4937,-79.3388
30.041,48.1722,43.1223
85.8799,-75.636,82.0802
67.5661,35.6473,73.7595
59.7598,-60.1731,48.5447
78.5578,-39.261,77.7104
52.6793,80.5019,28.6282
73.4185,1.7789,75.9394
63.4338,-48.7195,64.471
54.488,84.6912,-4.3991
21.2056,40.7195,-66.0161
21.9677,-10.5377,30.2513
32.4454,-36.0375,22.9001
44.8861,-44.9651,27.8276
66.7696,-19.9939,-4.0462
76.8007,-68.4102,42.0567
70.1279,-17.1044,-41.4703
39.5352,71.69,-45.6105
30.7556,-37.6226,37.5424
87.8813,-20.2274,86.7194
40.3473,-45.2922,45.2461
90.8341,-17.7634,89.3775
35.1627,59.2808,43.7718
82.5282,-66.4338,79.6845
6.5965,30.8818,-30.04
5.5344,23.8001,2.8166
30.9674,-13.6093,-17.0346
55.4673,-53.3537,57.565
32.8775,18.6654,-54.7329
51.8879,90.2428,-70.9426
85.7342,-78.0663,55.5123
26.872,63.3274,-72.8262
67.4843,-69.1767,66.0115
20.3324,56.3436,-71.09
49.8065,76.5901,42.3155
49.7461,71.7063,63.1558
89.6146,-28.2383,87.6941
36.9126,-18.5229,-14.78
19.9472,49.8549,-47.7851
51.843,78.2765,65.8157
51.0476,-27.3484,-13.0718
82.2412,-77.5783,78.9458
64.0714,-10.1248,67.1947
89.0292,-64.0296,85.2638
83.5746,-67.9804,30.9653
84.9971,-63.1853,18.5786
30.6334,68.8208,-78.9823
57.9225,92.6097,-41.0854
71.3518,-41.0839,-8.5499
43.1787,68.474,56.0683
70.2104,2.572,73.2768
61.5805,-35.7944,-8.7066
87.9798,-46.9062,85.2514
72.4527,2.482,75.1714
47.6461,60.8169,59.9349
37.8926,7.2063,-46.6221
22.6698,-0.0189,31.5099
70.4113,-68.3923,69.4326
40.5057,42.3185,51.764
50.354,76.7739,63.0358
22.5357,61.2397,-80.1596
55.6044,-58.3764,52.0824
27.5912,68.1422,-87.0674
27.5741,50.9393,-80.12
54.6141,89.8523,-49.3953
12.9772,33.7329,16.2497
32.9449,58.1248,6.3678
32.9797,62.8972,-38.1081
50.3552,77.7524,28.2418
21.3661,43.3785,27.5284
58.0357,-60.0014,59.4288
23.1172,23.1207,-51.6862
86.2888,-48.9054,83.7184
34.2097,62.0572,-20.9551
15.8088,47.0044,-54.1034
21.0069,-26.3601,28.6076
41.4441,67.4534,21.2715
40.293,-35.8139,45.6275
19.6595,47.6307,-38.487
18.0181,15.5683,26.5466
31.8275,77.7086,-104.7047
57.4614,5.4077,-58.7723
1.8733,8.7032,0.5015
56.2468,66.6168,67.7158
28.9188,29.5285,40.1926
91.8391,-16.2283,90.3279
28.6238,69.3084,-87.6653
38.6163,67.9967,-26.9605
116.2614,-2.1835,18.3812
14.9489,50.2746,-67.7234
45.0147,16.3822,-61.3746
90.5883,-26.7188,88.6102
30.0519,54.5277,8.5822
42.1842,68.1191,26.1542
44.0144,11.981,51.7903
29.083,38.9714,41.2073
45.1032,71.3734,31.6128
76.1494,-72.2835,55.6816
53.2894,-1.9836,58.606
47.3989,66.5774,60.5289
26.374,49.5968,19.3526
37.1132,75.3583,-77.9992
40.0281,66.9577,1.1773
11.2793,41.0315,-57.8716
38.7633,-23.5093,-8.8971
51.1865,83.84,-34.7328
40.0261,72.3214,-45.9989
23.6312,17.2437,-46.4495
51.5613,83.6421,-29.4024
22.809,-29.5895,30.4835
65.9282,33.0242,72.1359
19.8853,-27.9037,20.8154
6.1586,27.8788,-18.9331
44.0546,-32.8501,1.9486
84.3273,-71.4382,80.9658
62.5121,46.7636,70.6055
75.1942,-44.9772,74.5659
78.5913,-76.4154,75.9392
33.0667,68.2204,-65.9936
62.1458,-56.9984,33.6944
40.483,-40.6985,45.5611
13.0969,36.2916,-14.9011
19.7085,44.0367,-14.0402
8.1776,14.2172,-31.8774
41.7442,-46.3672,38.9834
49.9752,-28.7457,54.1467
32.4007,77.5098,-106.5727
21.8595,27.0636,-54.3782
33.8137,72.839,-81.8145
88.3789,-80.4179,83.9648
22.1128,60.9995,-83.8911
75.9184,12.2197,78.8381
65.5885,-49.907,12.6817
73.8205,3.5338,76.4074
32.2206,78.405,-105.7379
64.4533,-58.0671,64.8919
60.7877,-30.8057,63.1657
5.4227,-8.9035,2.9835
86.453,-28.1174,85.0254
73.5798,-62.0201,29.9518
64.7728,44.8103,72.2999
64.2033,-66.5589,63.9302
49.1161,75.2134,63.1832
27.2023,64.326,-75.2698
53.8102,-48.4336,56.396
86.4564,-47.7949,-10.6611
60.9002,-42.776,3.783
26.5816,-14.9654,34.9189
47.949,84.7825,-65.606
22.7721,51.1777,-38.5285
26.3729,55.9405,-42.1615
55.6248,69.9794,67.6548
49.3478,75.6674,58.5746
42.7019,72.9238,-27.6613
36.0517,68.0168,-47.7681
29.6416,73.0151,-100.4347
75.5873,3.0917,77.8731
63.2544,-65.2218,60.4569
15.4005,43.9739,-43.6351
59.8091,-60.5017,60.8922
17.7711,13.4159,26.1289
16.634,14.3328,24.6647
54.384,16.8542,-68.702
78.3159,-74.7972,59.9997
1.5686,-3.2045,2.2905
22.6144,55.0781,-57.9181
59.6476,-5.376,63.7626
46.9094,-30.9181,-3.9829
24.0046,-9.2652,32.5521
45.7569,85.2083,-80.0714
17.7693,37.4402,27.3346
53.0841,-53.5572,39.5224
59.4056,0.8537,-55.1138
45.6793,5.8739,-1.6372
36.9293,35.6313,-73.9911
30.1008,29.3372,-62.8693
45.7998,-43.0434,21.299
42.6211,67.4079,56.8341
7.1992,34.4044,-40.4157
69.6325,-27.3861,-27.5469
89.9416,-62.3101,86.1154
22.5524,-31.8161,29.3174
51.7736,89.7348,-68.8807
53.0167,-31.7448,56.5531
28.7183,6.2695,38.2128
55.2658,85.5232,-3.1634
63.2229,-48.6285,12.655
33.0355,64.1519,-45.4486
25.9522,49.179,17.3713
